,host_name,host_since,neighbourhood,property_type,room_type,price
162,Rita,2013-05-28,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$21,491.00"
163,Alexandra,2013-05-28,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$46,598.00"
164,Alexandra,2013-05-28,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,360.00"
165,Zsuzsi,2013-10-08,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$20,602.00"
166,Anna,2011-03-08,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$30,435.00"
167,Andras,2009-12-03,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,267.00"
168,Oscar,2013-06-12,,Entire rental unit,Entire home/apt,"$13,627.00"
169,Aron & Eva,2013-06-13,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,851.00"
170,Iván,2013-06-17,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$17,062.00"
171,Monika And Viktor,2013-06-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$403,954.00"
172,Sinkó,2013-06-19,,Entire home,Entire home/apt,"$53,668.00"
173,Janos,2008-09-09,"Budapest, Hungary",Entire condo,Entire home/apt,"$70,059.00"
174,Delfina,2013-06-29,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$31,932.00"
175,Janka,2010-06-06,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$17,303.00"
176,Gergo,2013-07-05,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,946.00"
177,Stephen,2013-07-02,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$44,604.00"
178,Tamás,2013-07-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$17,543.00"
179,Erik,2016-10-29,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$24,944.00"
180,Leó,2013-07-15,,Entire rental unit,Entire home/apt,"$22,217.00"
181,Leó,2013-07-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$22,217.00"
182,László,2013-05-01,,Entire rental unit,Entire home/apt,"$19,080.00"
183,Tamás,2013-07-29,"Budapest, Hungary",Entire condo,Entire home/apt,"$33,489.00"
184,Markus,2013-06-28,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,819.00"
185,István,2013-08-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$15,500.00"
